tip,sex,smoker,day,time,g_size
1.44,Male,No,Thur,Lunch,2
2.0,Male,Yes,Thur,Lunch,2
5.0,Female,Yes,Thur,Lunch,4
2.0,Female,Yes,Thur,Lunch,2
2.0,Male,Yes,Thur,Lunch,2
4.0,Male,Yes,Thur,Lunch,3
2.01,Female,Yes,Thur,Lunch,2
2.0,Female,Yes,Thur,Lunch,2
2.5,Female,Yes,Thur,Lunch,2
4.0,Male,Yes,Thur,Lunch,4
3.23,Female,Yes,Thur,Lunch,3
3.41,Male,Yes,Sat,Dinner,3
3.0,Male,Yes,Sat,Dinner,4
2.03,Male,Yes,Sat,Dinner,2
2.23,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,3
5.16,Male,Yes,Sat,Dinner,4
9.0,Male,No,Sat,Dinner,4
2.5,Female,Yes,Sat,Dinner,2
6.5,Female,Yes,Sat,Dinner,3
1.1,Female,Yes,Sat,Dinner,2
3.0,Male,Yes,Sat,Dinner,5
1.5,Male,Yes,Sat,Dinner,2
1.44,Male,Yes,Sat,Dinner,2
3.09,Female,Yes,Sat,Dinner,4
2.2,Male,Yes,Fri,Lunch,2
3.48,Female,Yes,Fri,Lunch,2
1.92,Male,Yes,Fri,Lunch,1
3.0,Female,No,Fri,Lunch,3
1.58,Male,Yes,Fri,Lunch,2
2.5,Female,Yes,Fri,Lunch,2
2.0,Female,Yes,Fri,Lunch,2
3.0,Male,No,Sat,Dinner,4
2.72,Male,No,Sat,Dinner,2
2.88,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,4
3.0,Male,Yes,Sat,Dinner,3
3.39,Male,No,Sat,Dinner,2
1.47,Male,No,Sat,Dinner,2
3.0,Male,Yes,Sat,Dinner,2
1.25,Male,No,Sat,Dinner,2
1.0,Male,Yes,Sat,Dinner,2
1.17,Male,Yes,Sat,Dinner,2
4.67,Female,No,Sat,Dinner,3
5.92,Male,No,Sat,Dinner,3
2.0,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,2
1.75,Male,No,Sat,Dinner,2
